ablation_family,comparison,evidence_type,candidate,reference,metric,candidate_value,reference_value,delta,higher_is_better,candidate_wins,source_artifact,interpretation
objective_guidance,hmm_guided_hmm_vs_vanilla_contrastive_hmm,structural,hmm_guided_hmm,contrastive_hmm,hmm_reference_nmi,0.8687274697326897,0.0199255842591086,0.848801885473581,True,True,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use HMM assignment.
objective_guidance,hmm_guided_hmm_vs_vanilla_contrastive_hmm,structural,hmm_guided_hmm,contrastive_hmm,hmm_reference_purity,0.9573862001496232,0.3765321977326351,0.5808540024169881,True,True,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use HMM assignment.
objective_guidance,hmm_guided_hmm_vs_vanilla_contrastive_hmm,structural,hmm_guided_hmm,contrastive_hmm,transition_diagonal_probability,0.8252773147882062,0.9763466850828728,-0.1510693702946666,True,False,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use HMM assignment.
objective_guidance,hmm_guided_hmm_vs_vanilla_contrastive_hmm,structural,hmm_guided_hmm,contrastive_hmm,avg_regime_duration,5.721802038803025,42.17718446601942,-36.45538242721639,,,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use HMM assignment.
objective_guidance,hmm_guided_gmm_vs_vanilla_contrastive_gmm,structural,hmm_guided_gmm,contrastive,hmm_reference_nmi,0.6091188863363399,0.0318352309402001,0.5772836553961398,True,True,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use GMM assignment.
objective_guidance,hmm_guided_gmm_vs_vanilla_contrastive_gmm,structural,hmm_guided_gmm,contrastive,hmm_reference_purity,0.7587040340680209,0.3786039017091557,0.3801001323588652,True,True,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use GMM assignment.
objective_guidance,hmm_guided_gmm_vs_vanilla_contrastive_gmm,structural,hmm_guided_gmm,contrastive,transition_diagonal_probability,0.8036668774067475,0.967282458563536,-0.16361558115678854,True,False,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use GMM assignment.
objective_guidance,hmm_guided_gmm_vs_vanilla_contrastive_gmm,structural,hmm_guided_gmm,contrastive,avg_regime_duration,5.092186128182616,30.51273046532045,-25.420544337137834,,,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use GMM assignment.
assignment_layer,vanilla_hmm_assignment_vs_vanilla_gmm_assignment,structural,contrastive_hmm,contrastive,hmm_reference_nmi,0.0199255842591086,0.0318352309402001,-0.011909646681091499,True,False,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether sequential HMM assignment improves the vanilla contrastive regime path over GMM assignment.
assignment_layer,vanilla_hmm_assignment_vs_vanilla_gmm_assignment,structural,contrastive_hmm,contrastive,hmm_reference_purity,0.3765321977326351,0.3786039017091557,-0.0020717039765206224,True,False,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether sequential HMM assignment improves the vanilla contrastive regime path over GMM assignment.
