ablation_family,comparison,evidence_type,candidate,reference,metrics_tested,metrics_with_direction,candidate_wins,mean_delta,source_artifact,interpretation,candidate_win_rate,IC,Sharpe,avg_regime_duration,drawdown,hmm_reference_nmi,hmm_reference_purity,total_return,transition_diagonal_probability,phase25_decision
assignment_layer,guided_hmm_alpha_vs_guided_gmm_alpha,downstream_alpha,regime_lgbm_hmm_guided_hmm,regime_lgbm_hmm_guided_gmm,4,4,4.0,0.5661956182472789,walkforward_experiment_results.csv,Tests whether HMM assignment improves downstream alpha for HMM-guided embeddings.,1.0,0.0186108070363757,1.0753231830621384,,0.2861682365239443,,,0.8846802463666575,,supported
assignment_layer,guided_hmm_assignment_vs_guided_gmm_assignment,structural,hmm_guided_hmm,hmm_guided_gmm,4,3,3.0,0.27737927436995485,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether sequential HMM assignment improves the HMM-guided embedding path over GMM assignment.,1.0,,,0.6296159106204087,,0.25960858339634973,0.19868216608160227,,0.021610437381458736,supported
assignment_layer,time_frequency_hmm_assignment_vs_time_frequency_gmm_assignment,structural,tf_hmm_guided_hmm,tf_hmm_guided_gmm,4,3,3.0,0.5003204931664913,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM assignment remains preferable on the time-frequency guided prototype.,1.0,,,1.9199813267173695,,0.02391319489942534,0.022011854750532356,,0.035375596298637846,supported
assignment_layer,vanilla_hmm_alpha_vs_vanilla_gmm_alpha,downstream_alpha,regime_lgbm_contrastive_hmm,regime_lgbm_contrastive,4,4,4.0,0.14510254120745522,walkforward_experiment_results.csv,Tests whether HMM assignment improves downstream alpha for vanilla contrastive embeddings.,1.0,0.008391937033069199,0.28598376442512063,,0.14792919788488024,,,0.13810526548675084,,supported
assignment_layer,vanilla_hmm_assignment_vs_vanilla_gmm_assignment,structural,contrastive_hmm,contrastive,4,3,1.0,2.914884219140174,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether sequential HMM assignment improves the vanilla contrastive regime path over GMM assignment.,0.3333333333333333,,,11.66445400069897,,-0.011909646681091499,-0.0020717039765206224,,0.009064226519336804,not_supported
augmentation_view,time_frequency_guided_gmm_vs_time_only_guided_gmm,structural,tf_hmm_guided_gmm,hmm_guided_gmm,4,3,1.0,0.309254909626855,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether the current 3-epoch time-frequency view improves the guided-GMM structural result over the full time-only guided run.,0.3333333333333333,,,1.377417887433669,,-0.10527021299065065,-0.07694078379467106,,0.04181274785907241,do_not_expand_yet
augmentation_view,time_frequency_guided_hmm_vs_time_only_guided_hmm,structural,tf_hmm_guided_hmm,hmm_guided_hmm,4,3,1.0,0.5321961284233914,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether the current 3-epoch time-frequency view improves the guided-HMM structural result over the full time-only guided run.,0.3333333333333333,,,2.66778330353063,,-0.34096560148757504,-0.253611095125741,,0.05557790677625152,do_not_expand_yet
classical_reference,guided_hmm_alpha_vs_raw_feature_hmm_alpha,downstream_alpha,regime_lgbm_hmm_guided_hmm,regime_lgbm_hmm,4,4,4.0,0.27653604509279484,walkforward_experiment_results.csv,Tests the main paper comparison: guided learned regimes versus the classical raw-feature HMM alpha baseline.,1.0,0.0043342068022977995,0.4394126659661214,,0.09546128847755853,,,0.5669360191252015,,directional_support_statistical_refresh_needed
objective_guidance,guided_gmm_alpha_vs_vanilla_contrastive_gmm_alpha,downstream_alpha,regime_lgbm_hmm_guided_gmm,regime_lgbm_contrastive,4,4,2.0,-0.03661828312578973,walkforward_experiment_results.csv,Tests whether HMM-guided embeddings help downstream alpha when assignment remains GMM-based.,0.5,0.0018384977076534997,-0.14277515242770278,,0.025681349926674035,,,-0.031217827709783652,,mixed
objective_guidance,guided_hmm_alpha_vs_vanilla_contrastive_hmm_alpha,downstream_alpha,regime_lgbm_hmm_guided_hmm,regime_lgbm_contrastive_hmm,4,4,4.0,0.38447479391403405,walkforward_experiment_results.csv,Tests whether the HMM-guided learned-regime alpha model improves downstream performance over the vanilla contrastive-HMM alpha path.,1.0,0.01205736771096,0.6465642662093151,,0.1639203885657381,,,0.715357153170123,,supported
objective_guidance,hmm_guided_gmm_vs_vanilla_contrastive_gmm,structural,hmm_guided_gmm,contrastive,4,3,2.0,-6.1566940326349044,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use GMM assignment.,0.6666666666666666,,,-25.420544337137834,,0.5772836553961398,0.3801001323588652,,-0.16361558115678854,mixed
objective_guidance,hmm_guided_hmm_vs_vanilla_contrastive_hmm,structural,hmm_guided_hmm,contrastive_hmm,4,3,2.0,-8.794198977405122,guided_encoder_comparison.csv + time_frequency_encoder_comparison.csv,Tests whether HMM-guided weak supervision improves learned regime structure over vanilla contrastive embeddings when both use HMM assignment.,0.6666666666666666,,,-36.45538242721639,,0.848801885473581,0.5808540024169881,,-0.1510693702946666,mixed
