universe,design_rank,symbol,base_asset,universe_group,notes,bars,earliest,latest,median_quote_volume,median_range_proxy,gap_count,max_gap_hours,is_stable_or_synthetic,has_local_history,coverage_pass,gap_pass,liquidity_pass,eligible,selection_status,target_size,selection_mode,selected_by_design
crypto50,1,BTCUSDT,BTC,large_cap_reference,Existing pilot asset; highest-liquidity crypto benchmark anchor.,17520,2024-04-26 16:30:00+05:30,2026-04-26 15:30:00+05:30,57595668.09853755,0.005306972677298848,0,1.0,False,True,True,True,True,True,eligible,50,design_pending_quality_gate,True
crypto50,2,ETHUSDT,ETH,large_cap_reference,Existing pilot asset; second benchmark anchor.,17520,2024-04-26 16:30:00+05:30,2026-04-26 15:30:00+05:30,38702732.6222195,0.00799491524865515,0,1.0,False,True,True,True,True,True,eligible,50,design_pending_quality_gate,True
crypto50,3,BNBUSDT,BNB,large_cap_layer1,Large-cap exchange ecosystem asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,4,SOLUSDT,SOL,large_cap_layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,5,XRPUSDT,XRP,large_cap_payment,High-liquidity payments asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,6,DOGEUSDT,DOGE,large_cap_meme,High-liquidity meme asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,7,ADAUSDT,ADA,large_cap_layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,8,TRXUSDT,TRX,large_cap_layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,9,LINKUSDT,LINK,large_cap_oracle,High-liquidity oracle asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
crypto50,10,AVAXUSDT,AVAX,large_cap_layer1,High-liquidity layer-1 asset.,0,,,0.0,0.0,0,0.0,False,False,False,True,True,False,pending_ingestion,50,design_pending_quality_gate,True
